Data;Descrição;Valor;Tipo de Pagamento;Categoria;Conta
11/10/2018;Food Truck;24.4;Débito;Groceries;Platinum Card
11/12/2018;Grocery Store;10.18;Débito;Groceries;Platinum Card
11/12/2018;American Tavern;22.33;Débito;Restaurants;Silver Card
11/13/2018;Grocery Store;4.8;Débito;Groceries;Platinum Card
11/13/2018;Grocery Store;37.43;Débito;Groceries;Platinum Card
11/13/2018;Grocery Store;10.15;Débito;Groceries;Platinum Card
11/13/2018;Phone Company;89.54;Débito;Mobile Phone;Checking
11/14/2018;Power Company;60;Débito;Utilities;Checking
11/16/2018;City Water Charges;35;Débito;Utilities;Checking
11/17/2018;Brewing Company;22.8;Débito;Alcohol & Bars;Platinum Card
11/17/2018;Hardware Store;15.47;Débito;Home Improvement;Platinum Card
11/17/2018;Hardware Store;6.4;Débito;Home Improvement;Platinum Card
11/17/2018;Greek Restaurant;23.26;Débito;Restaurants;Platinum Card
11/19/2018;Brewing Company;20;Débito;Alcohol & Bars;Silver Card
11/19/2018;QuikTrip;29.15;Débito;Gas & Fuel;Silver Card
11/19/2018;Hardware Store;10.02;Débito;Home Improvement;Silver Card
11/20/2018;State Farm;75;Débito;Auto Insurance;Checking
11/20/2018;Credit Card Payment;421.96;Crédito;Credit Card Payment;Platinum Card
11/21/2018;Grocery Store;5.64;Débito;Groceries;Silver Card
11/21/2018;Hardware Store;37.41;Débito;Home Improvement;Platinum Card
11/23/2018;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
11/26/2018;American Tavern;16.8;Débito;Alcohol & Bars;Silver Card
11/26/2018;Internet Service Provider;74.99;Débito;Internet;Checking
11/27/2018;Movie Theater;17;Débito;Movies & DVDs;Silver Card
11/27/2018;American Tavern;28.4;Débito;Restaurants;Silver Card
11/29/2018;Credit Card Payment;582.99;Crédito;Credit Card Payment;Silver Card
11/29/2018;Credit Card Payment;751.5;Crédito;Credit Card Payment;Platinum Card
11/30/2018;Credit Card Payment;582.99;Débito;Credit Card Payment;Checking
11/30/2018;Grocery Store;6.27;Débito;Groceries;Silver Card
12/01/2018;Grocery Store;5.64;Débito;Groceries;Silver Card
12/01/2018;Brunch Restaurant;8;Débito;Restaurants;Silver Card
12/01/2018;Amazon;13.13;Débito;Shopping;Platinum Card
12/03/2018;BP;30.03;Débito;Gas & Fuel;Silver Card
12/03/2018;Grocery Store;148.15;Débito;Groceries;Silver Card
12/03/2018;Mortgage Payment;1209.18;Débito;Mortgage & Rent;Checking
12/04/2018;Starbucks;3;Débito;Coffee Shops;Silver Card
12/04/2018;Latin Restaurant;20.65;Débito;Fast Food;Platinum Card
12/04/2018;Netflix;11.76;Débito;Movies & DVDs;Platinum Card
12/06/2018;Grocery Store;21.38;Débito;Groceries;Platinum Card
12/06/2018;Grocery Store;13.48;Débito;Groceries;Platinum Card
12/06/2018;Gas Company;40;Débito;Utilities;Checking
12/07/2018;Barbershop;30;Débito;Haircut;Platinum Card
12/07/2018;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
12/08/2018;Grocery Store;12.64;Débito;Groceries;Platinum Card
12/09/2018;Spotify;10.69;Débito;Music;Platinum Card
12/11/2018;Brunch Restaurant;10.29;Débito;Restaurants;Platinum Card
12/12/2018;Phone Company;89.54;Débito;Mobile Phone;Checking
12/13/2018;Thai Restaurant;27;Débito;Restaurants;Silver Card
12/14/2018;Grocery Store;21.39;Débito;Groceries;Silver Card
12/14/2018;Hardware Store;17.1;Débito;Home Improvement;Silver Card
12/14/2018;Power Company;60;Débito;Utilities;Checking
12/17/2018;American Tavern;63;Débito;Food & Dining;Silver Card
12/17/2018;BP;20.01;Débito;Gas & Fuel;Silver Card
12/17/2018;City Water Charges;35;Débito;Utilities;Checking
12/18/2018;Starbucks;3;Débito;Coffee Shops;Silver Card
12/18/2018;Credit Card Payment;311.02;Crédito;Credit Card Payment;Platinum Card
12/18/2018;Credit Card Payment;311.02;Débito;Credit Card Payment;Checking
12/18/2018;Fancy Restaurant;56.52;Débito;Restaurants;Silver Card
12/18/2018;Amazon;49.99;Débito;Shopping;Platinum Card
12/18/2018;Amazon;41.72;Débito;Shopping;Platinum Card
12/18/2018;Amazon;24.3;Débito;Shopping;Platinum Card
12/19/2018;State Farm;75;Débito;Auto Insurance;Checking
12/19/2018;Amazon;43.01;Débito;Shopping;Platinum Card
12/20/2018;Credit Card Payment;464.03;Crédito;Credit Card Payment;Silver Card
12/20/2018;Shell;30.38;Débito;Gas & Fuel;Silver Card
12/21/2018;Credit Card Payment;464.03;Débito;Credit Card Payment;Checking
12/21/2018;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
12/22/2018;New York Deli;21.38;Débito;Fast Food;Platinum Card
12/22/2018;Hardware Store;22.14;Débito;Home Improvement;Platinum Card
12/23/2018;Hardware Store;28;Débito;Home Improvement;Platinum Card
12/24/2018;Hardware Store;38.4;Débito;Home Improvement;Platinum Card
12/26/2018;Chick-Fil-A;56.07;Débito;Fast Food;Platinum Card
12/26/2018;Shell;32.47;Débito;Gas & Fuel;Platinum Card
12/26/2018;Shell;7.48;Débito;Gas & Fuel;Platinum Card
12/26/2018;Internet Service Provider;75.99;Débito;Internet;Checking
12/26/2018;Amazon;44.99;Débito;Shopping;Platinum Card
12/28/2018;Brewing Company;12;Débito;Alcohol & Bars;Silver Card
12/29/2018;Brewing Company;14;Débito;Alcohol & Bars;Silver Card
12/29/2018;Credit Card Payment;860.05;Crédito;Credit Card Payment;Platinum Card
12/29/2018;Grocery Store;55.04;Débito;Groceries;Silver Card
01/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
01/02/2019;Credit Card Payment;499.6;Débito;Credit Card Payment;Checking
01/03/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
01/03/2019;Amazon;42.1;Débito;Shopping;Platinum Card
01/04/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
01/05/2019;American Tavern;23.49;Débito;Restaurants;Platinum Card
01/08/2019;Gas Company;45;Débito;Utilities;Checking
01/09/2019;Credit Card Payment;491.45;Crédito;Credit Card Payment;Platinum Card
01/09/2019;Credit Card Payment;491.45;Débito;Credit Card Payment;Checking
01/09/2019;Credit Card Payment;281.84;Débito;Credit Card Payment;Checking
01/09/2019;Spotify;10.69;Débito;Music;Platinum Card
01/10/2019;Grocery Store;58.79;Débito;Groceries;Silver Card
01/10/2019;Barbershop;30;Débito;Haircut;Silver Card
01/10/2019;Phone Company;65;Débito;Mobile Phone;Checking
01/14/2019;Shell;28.92;Débito;Gas & Fuel;Silver Card
01/15/2019;Grocery Store;6.06;Débito;Groceries;Silver Card
01/16/2019;City Water Charges;35;Débito;Utilities;Checking
01/16/2019;Power Company;60;Débito;Utilities;Checking
01/18/2019;State Farm;75;Débito;Auto Insurance;Checking
01/18/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
01/21/2019;Credit Card Payment;277.99;Crédito;Credit Card Payment;Silver Card
01/22/2019;Credit Card Payment;277.99;Débito;Credit Card Payment;Checking
01/24/2019;Grocery Store;21.06;Débito;Groceries;Silver Card
01/24/2019;Amazon;11.7;Débito;Shopping;Platinum Card
01/24/2019;Amazon;4.21;Débito;Shopping;Platinum Card
01/25/2019;Internet Service Provider;75;Débito;Internet;Checking
01/31/2019;Credit Card Payment;1900;Débito;Credit Card Payment;Checking
01/31/2019;Shell;31.32;Débito;Gas & Fuel;Silver Card
02/01/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
02/01/2019;Roadside Diner;9.47;Débito;Restaurants;Silver Card
02/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
02/04/2019;Hardware Store;86.97;Débito;Home Improvement;Silver Card
02/04/2019;Netflix;11.76;Débito;Television;Platinum Card
02/05/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
02/07/2019;Gas Company;65;Débito;Utilities;Checking
02/08/2019;Starbucks;3;Débito;Coffee Shops;Platinum Card
02/08/2019;Thai Restaurant;27.47;Débito;Restaurants;Platinum Card
02/09/2019;Spotify;10.69;Débito;Music;Platinum Card
02/11/2019;Starbucks;3;Débito;Coffee Shops;Platinum Card
02/11/2019;Credit Card Payment;133.95;Débito;Credit Card Payment;Checking
02/11/2019;BP;24.01;Débito;Gas & Fuel;Platinum Card
02/12/2019;Grocery Store;30.54;Débito;Groceries;Platinum Card
02/12/2019;Phone Company;65;Débito;Mobile Phone;Checking
02/13/2019;Grocery Store;8.21;Débito;Groceries;Platinum Card
02/15/2019;Credit Card Payment;207.47;Crédito;Credit Card Payment;Platinum Card
02/15/2019;Credit Card Payment;207.47;Débito;Credit Card Payment;Checking
02/15/2019;Grocery Store;4.59;Débito;Groceries;Platinum Card
02/15/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
02/15/2019;Power Company;60;Débito;Utilities;Checking
02/16/2019;Brewing Company;8;Débito;Alcohol & Bars;Platinum Card
02/16/2019;American Tavern;32.75;Débito;Restaurants;Platinum Card
02/16/2019;Amazon;37.45;Débito;Shopping;Platinum Card
02/19/2019;Credit Card Payment;574.84;Débito;Credit Card Payment;Checking
02/19/2019;City Water Charges;35;Débito;Utilities;Checking
02/20/2019;State Farm;75;Débito;Auto Insurance;Checking
02/20/2019;Credit Card Payment;292.54;Crédito;Credit Card Payment;Silver Card
02/20/2019;Barbershop;30;Débito;Haircut;Platinum Card
02/21/2019;Credit Card Payment;292.54;Débito;Credit Card Payment;Checking
02/21/2019;Grocery Store;46.96;Débito;Groceries;Silver Card
02/25/2019;BP;33.8;Débito;Gas & Fuel;Silver Card
02/25/2019;Internet Service Provider;75;Débito;Internet;Checking
02/27/2019;Roadside Diner;25.77;Débito;Restaurants;Silver Card
02/28/2019;Grocery Store;32.07;Débito;Groceries;Silver Card
03/01/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
03/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
03/04/2019;Grocery Store;92.04;Débito;Groceries;Silver Card
03/04/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
03/04/2019;Netflix;11.76;Débito;Television;Platinum Card
03/05/2019;Fancy Restaurant;7;Débito;Restaurants;Silver Card
03/06/2019;Credit Card Payment;491.86;Débito;Credit Card Payment;Checking
03/08/2019;BP;34.08;Débito;Gas & Fuel;Platinum Card
03/08/2019;Amazon;27.17;Débito;Shopping;Platinum Card
03/08/2019;Gas Company;49;Débito;Utilities;Checking
03/09/2019;Spotify;10.69;Débito;Music;Platinum Card
03/12/2019;Phone Company;65;Débito;Mobile Phone;Checking
03/12/2019;Bakery Place;3.02;Débito;Restaurants;Platinum Card
03/13/2019;Credit Card Payment;532.86;Crédito;Credit Card Payment;Platinum Card
03/13/2019;Credit Card Payment;301.79;Crédito;Credit Card Payment;Silver Card
03/14/2019;Credit Card Payment;305.27;Débito;Credit Card Payment;Checking
03/14/2019;Credit Card Payment;301.79;Débito;Credit Card Payment;Checking
03/14/2019;Brunch Restaurant;8;Débito;Restaurants;Platinum Card
03/15/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
03/15/2019;Power Company;60;Débito;Utilities;Checking
03/18/2019;Best Buy;320.99;Débito;Electronics & Software;Platinum Card
03/18/2019;Grocery Store;16.23;Débito;Groceries;Platinum Card
03/19/2019;Amazon;13.84;Débito;Shopping;Platinum Card
03/19/2019;City Water Charges;35;Débito;Utilities;Checking
03/20/2019;State Farm;75;Débito;Auto Insurance;Checking
03/22/2019;BP;37.51;Débito;Gas & Fuel;Platinum Card
03/23/2019;Starbucks;5.2;Débito;Coffee Shops;Platinum Card
03/25/2019;Internet Service Provider;75;Débito;Internet;Checking
03/26/2019;Amazon;16.04;Débito;Shopping;Platinum Card
03/27/2019;Brewing Company;49.63;Débito;Alcohol & Bars;Platinum Card
03/27/2019;Grocery Store;4.46;Débito;Groceries;Platinum Card
03/29/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
03/30/2019;Starbucks;12.84;Débito;Coffee Shops;Platinum Card
03/31/2019;Credit Card Payment;957.6;Crédito;Credit Card Payment;Platinum Card
04/01/2019;Credit Card Payment;1552.65;Débito;Credit Card Payment;Checking
04/01/2019;Credit Card Payment;600.51;Crédito;Credit Card Payment;Platinum Card
04/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
04/02/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
04/04/2019;Grocery Store;5.64;Débito;Groceries;Platinum Card
04/04/2019;Amazon;35.9;Débito;Shopping;Platinum Card
04/04/2019;Netflix;11.76;Débito;Television;Platinum Card
04/06/2019;Amazon;27.54;Débito;Shopping;Platinum Card
04/08/2019;Gas Company;30;Débito;Utilities;Checking
04/09/2019;Credit Card Payment;436.75;Débito;Credit Card Payment;Checking
04/09/2019;Grocery Store;10.7;Débito;Groceries;Platinum Card
04/09/2019;Barbershop;30;Débito;Haircut;Platinum Card
04/09/2019;Spotify;10.69;Débito;Music;Platinum Card
04/10/2019;Phone Company;65;Débito;Mobile Phone;Checking
04/12/2019;Best Buy;44.93;Débito;Electronics & Software;Silver Card
04/12/2019;Grocery Store;41.34;Débito;Groceries;Platinum Card
04/12/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
04/13/2019;QuikTrip;38.94;Débito;Gas & Fuel;Platinum Card
04/13/2019;Grocery Store;16.87;Débito;Groceries;Platinum Card
04/13/2019;Vietnamese Restaurant;20.64;Débito;Restaurants;Platinum Card
04/15/2019;Power Company;60;Débito;Utilities;Checking
04/16/2019;City Water Charges;35;Débito;Utilities;Checking
04/18/2019;State Farm;75;Débito;Auto Insurance;Checking
04/18/2019;Credit Card Payment;604.32;Crédito;Credit Card Payment;Silver Card
04/18/2019;Credit Card Payment;458.1;Crédito;Credit Card Payment;Platinum Card
04/19/2019;Credit Card Payment;604.32;Débito;Credit Card Payment;Checking
04/19/2019;Grocery Store;10.89;Débito;Groceries;Platinum Card
04/22/2019;Brewing Company;14.4;Débito;Alcohol & Bars;Silver Card
04/22/2019;Greek Restaurant;64.52;Débito;Restaurants;Silver Card
04/23/2019;Hardware Store;29.56;Débito;Home Improvement;Silver Card
04/25/2019;Internet Service Provider;75;Débito;Internet;Checking
04/26/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
04/27/2019;Brewing Company;40;Débito;Alcohol & Bars;Platinum Card
04/27/2019;Credit Card Payment;268.96;Crédito;Credit Card Payment;Silver Card
04/27/2019;American Tavern;14.74;Débito;Restaurants;Silver Card
04/29/2019;Credit Card Payment;268.96;Débito;Credit Card Payment;Checking
04/29/2019;Grocery Store;5.64;Débito;Groceries;Platinum Card
04/30/2019;BP;39.08;Débito;Gas & Fuel;Platinum Card
05/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
05/02/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
05/03/2019;Credit Card Payment;758.07;Débito;Credit Card Payment;Checking
05/04/2019;Netflix;13.9;Débito;Television;Platinum Card
05/06/2019;Amazon;16.94;Débito;Shopping;Platinum Card
05/07/2019;Amazon;38.56;Débito;Shopping;Platinum Card
05/09/2019;Best Buy;331.69;Débito;Electronics & Software;Platinum Card
05/09/2019;Spotify;10.69;Débito;Music;Platinum Card
05/09/2019;Target;3.2;Débito;Shopping;Platinum Card
05/09/2019;Gas Company;30;Débito;Utilities;Checking
05/10/2019;Best Buy;21.39;Débito;Electronics & Software;Silver Card
05/10/2019;Phone Company;65;Débito;Mobile Phone;Checking
05/10/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
05/13/2019;Credit Card Payment;480.88;Débito;Credit Card Payment;Checking
05/13/2019;QuikTrip;35.24;Débito;Gas & Fuel;Silver Card
05/13/2019;Fancy Restaurant;98.19;Débito;Restaurants;Silver Card
05/13/2019;Greek Restaurant;23.11;Débito;Restaurants;Silver Card
05/14/2019;Grocery Store;2.02;Débito;Groceries;Silver Card
05/15/2019;Power Company;60;Débito;Utilities;Checking
05/17/2019;Credit Card Payment;575.33;Crédito;Credit Card Payment;Platinum Card
05/17/2019;City Water Charges;35;Débito;Utilities;Checking
05/20/2019;State Farm;75;Débito;Auto Insurance;Checking
05/20/2019;Credit Card Payment;415.47;Débito;Credit Card Payment;Checking
05/20/2019;American Tavern;32.53;Débito;Restaurants;Silver Card
05/24/2019;Credit Card Payment;765.68;Crédito;Credit Card Payment;Silver Card
05/24/2019;Hardware Store;27.96;Débito;Home Improvement;Platinum Card
05/24/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
05/24/2019;Brunch Restaurant;8;Débito;Restaurants;Platinum Card
05/25/2019;QuikTrip;36.76;Débito;Gas & Fuel;Platinum Card
05/25/2019;Hardware Store;30.99;Débito;Home Improvement;Platinum Card
05/27/2019;Mexican Restaurant;34.33;Débito;Restaurants;Platinum Card
05/28/2019;Credit Card Payment;765.68;Débito;Credit Card Payment;Checking
05/30/2019;Internet Service Provider;75;Débito;Internet;Checking
05/30/2019;American Tavern;34.82;Débito;Restaurants;Platinum Card
06/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
06/03/2019;Starbucks;2.75;Débito;Coffee Shops;Platinum Card
06/03/2019;Credit Card Payment;260.95;Crédito;Credit Card Payment;Platinum Card
06/03/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
06/04/2019;Barbershop;30;Débito;Haircut;Platinum Card
06/04/2019;Netflix;13.9;Débito;Television;Platinum Card
06/05/2019;Grocery Store;23;Débito;Groceries;Platinum Card
06/05/2019;Mexican Restaurant;23.24;Débito;Restaurants;Platinum Card
06/06/2019;Starbucks;3.75;Débito;Coffee Shops;Platinum Card
06/06/2019;Grocery Store;5.64;Débito;Groceries;Platinum Card
06/07/2019;Credit Card Payment;458.56;Débito;Credit Card Payment;Checking
06/07/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
06/07/2019;Gas Company;30;Débito;Utilities;Checking
06/09/2019;Spotify;10.69;Débito;Music;Platinum Card
06/12/2019;Phone Company;65;Débito;Mobile Phone;Checking
06/13/2019;Credit Card Payment;152.72;Crédito;Credit Card Payment;Platinum Card
06/13/2019;Credit Card Payment;152.72;Débito;Credit Card Payment;Checking
06/14/2019;Grocery Store;10.69;Débito;Groceries;Silver Card
06/15/2019;BP;33.16;Débito;Gas & Fuel;Silver Card
06/17/2019;City Water Charges;35;Débito;Utilities;Checking
06/17/2019;Power Company;60;Débito;Utilities;Checking
06/18/2019;Brewing Company;15;Débito;Alcohol & Bars;Silver Card
06/18/2019;Shell;41.83;Débito;Gas & Fuel;Silver Card
06/19/2019;State Farm;75;Débito;Auto Insurance;Checking
06/20/2019;Credit Card Payment;375.26;Débito;Credit Card Payment;Checking
06/20/2019;Mike's Construction Co.;9200;Débito;Home Improvement;Checking
06/20/2019;Credit Card Payment;100.68;Crédito;Credit Card Payment;Silver Card
06/21/2019;Credit Card Payment;100.68;Débito;Credit Card Payment;Checking
06/21/2019;Biweekly Paycheck;2000;Crédito;Paycheck;Checking
06/24/2019;Brewing Company;15;Débito;Alcohol & Bars;Silver Card
06/28/2019;BP;30.64;Débito;Gas & Fuel;Silver Card
06/30/2019;Internet Service Provider;75;Débito;Internet;Checking
07/01/2019;Starbucks;7;Débito;Coffee Shops;Silver Card
07/01/2019;Grocery Store;99.47;Débito;Groceries;Silver Card
07/01/2019;Hawaiian Grill;24.97;Débito;Restaurants;Silver Card
07/01/2019;Thai Restaurant;24;Débito;Restaurants;Silver Card
07/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
07/02/2019;Hardware Store;229.9;Débito;Home Improvement;Platinum Card
07/02/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
07/04/2019;Netflix;13.9;Débito;Television;Platinum Card
07/05/2019;Brewing Company;19;Débito;Alcohol & Bars;Silver Card
07/05/2019;Biweekly Paycheck;2250;Crédito;Paycheck;Checking
07/06/2019;Credit Card Payment;220.08;Crédito;Credit Card Payment;Silver Card
07/06/2019;Grocery Store;92.98;Débito;Groceries;Platinum Card
07/06/2019;Greek Restaurant;23.26;Débito;Restaurants;Platinum Card
07/07/2019;Hardware Store;103.14;Débito;Home Improvement;Platinum Card
07/08/2019;Credit Card Payment;305.28;Débito;Credit Card Payment;Checking
07/08/2019;Credit Card Payment;220.08;Débito;Credit Card Payment;Checking
07/09/2019;Credit Card Payment;549.72;Crédito;Credit Card Payment;Platinum Card
07/09/2019;Spotify;10.69;Débito;Music;Platinum Card
07/10/2019;Phone Company;65;Débito;Mobile Phone;Checking
07/10/2019;Gas Company;30;Débito;Utilities;Checking
07/15/2019;Grocery Store;87.14;Débito;Groceries;Silver Card
07/16/2019;Amazon;89.99;Débito;Shopping;Platinum Card
07/16/2019;Power Company;60;Débito;Utilities;Checking
07/17/2019;City Water Charges;35;Débito;Utilities;Checking
07/18/2019;State Farm;75;Débito;Auto Insurance;Checking
07/18/2019;Credit Card Payment;814.5;Débito;Credit Card Payment;Checking
07/18/2019;BP;36.42;Débito;Gas & Fuel;Silver Card
07/18/2019;Grocery Store;29.83;Débito;Groceries;Platinum Card
07/18/2019;Brunch Restaurant;8.82;Débito;Restaurants;Platinum Card
07/19/2019;Credit Card Payment;115.52;Crédito;Credit Card Payment;Platinum Card
07/19/2019;Biweekly Paycheck;2250;Crédito;Paycheck;Checking
07/19/2019;Mexican Restaurant;28;Débito;Restaurants;Platinum Card
07/22/2019;Credit Card Payment;257.08;Crédito;Credit Card Payment;Silver Card
07/22/2019;Thai Restaurant;26.67;Débito;Restaurants;Silver Card
07/23/2019;Credit Card Payment;257.08;Débito;Credit Card Payment;Checking
07/24/2019;Starbucks;2.5;Débito;Coffee Shops;Silver Card
07/27/2019;Barbershop;30;Débito;Haircut;Silver Card
07/28/2019;Hardware Store;44.31;Débito;Home Improvement;Platinum Card
07/29/2019;Grocery Store;5.35;Débito;Groceries;Platinum Card
07/29/2019;Fancy Restaurant;44.92;Débito;Restaurants;Silver Card
07/30/2019;Grocery Store;15.77;Débito;Groceries;Platinum Card
07/30/2019;Internet Service Provider;75;Débito;Internet;Checking
08/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
08/02/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
08/02/2019;Biweekly Paycheck;2250;Crédito;Paycheck;Checking
08/03/2019;BP;36.36;Débito;Gas & Fuel;Platinum Card
08/03/2019;Grocery Store;3.96;Débito;Groceries;Platinum Card
08/03/2019;American Tavern;23.47;Débito;Restaurants;Platinum Card
08/04/2019;Netflix;13.9;Débito;Television;Platinum Card
08/05/2019;Brewing Company;18;Débito;Alcohol & Bars;Silver Card
08/05/2019;Credit Card Payment;349.28;Crédito;Credit Card Payment;Platinum Card
08/05/2019;Credit Card Payment;117.65;Crédito;Credit Card Payment;Silver Card
08/06/2019;Credit Card Payment;521.17;Débito;Credit Card Payment;Checking
08/06/2019;Credit Card Payment;117.65;Débito;Credit Card Payment;Checking
08/06/2019;Hardware Store;125;Débito;Home Improvement;Checking
08/08/2019;Grocery Store;11.72;Débito;Groceries;Silver Card
08/09/2019;Spotify;10.69;Débito;Music;Platinum Card
08/09/2019;Gas Company;30;Débito;Utilities;Checking
08/12/2019;Phone Company;65;Débito;Mobile Phone;Checking
08/12/2019;Thai Restaurant;26.67;Débito;Restaurants;Silver Card
08/14/2019;Starbucks;2.75;Débito;Coffee Shops;Platinum Card
08/15/2019;Credit Card Payment;335.2;Débito;Credit Card Payment;Checking
08/15/2019;Power Company;60;Débito;Utilities;Checking
08/16/2019;Biweekly Paycheck;2250;Crédito;Paycheck;Checking
08/16/2019;City Water Charges;35;Débito;Utilities;Checking
08/17/2019;Credit Card Payment;87.17;Crédito;Credit Card Payment;Platinum Card
08/17/2019;Grocery Store;33.15;Débito;Groceries;Platinum Card
08/17/2019;Barbershop;19;Débito;Haircut;Platinum Card
08/17/2019;American Tavern;3.5;Débito;Restaurants;Platinum Card
08/19/2019;Credit Card Payment;1248.95;Débito;Credit Card Payment;Checking
08/20/2019;State Farm;75;Débito;Auto Insurance;Checking
08/20/2019;Starbucks;2.75;Débito;Coffee Shops;Platinum Card
08/21/2019;Shell;34.69;Débito;Gas & Fuel;Platinum Card
08/23/2019;Starbucks;2.75;Débito;Coffee Shops;Platinum Card
08/25/2019;Brunch Restaurant;39.43;Débito;Restaurants;Platinum Card
08/26/2019;Hardware Store;66.75;Débito;Home Improvement;Silver Card
08/29/2019;Starbucks;3;Débito;Coffee Shops;Platinum Card
08/30/2019;Starbucks;2.75;Débito;Coffee Shops;Platinum Card
08/30/2019;Internet Service Provider;75;Débito;Internet;Checking
08/30/2019;Biweekly Paycheck;2250;Crédito;Paycheck;Checking
08/31/2019;Hardware Store;68.04;Débito;Home Improvement;Platinum Card
08/31/2019;BBQ Restaurant;41.78;Débito;Restaurants;Silver Card
09/01/2019;Amazon;13.09;Débito;Shopping;Platinum Card
09/03/2019;Mortgage Payment;1100;Débito;Mortgage & Rent;Checking
09/03/2019;Fancy Restaurant;41.24;Débito;Restaurants;Silver Card
09/04/2019;Netflix;13.9;Débito;Television;Platinum Card
09/05/2019;Starbucks;3.75;Débito;Coffee Shops;Platinum Card
09/06/2019;Credit Card Payment;1390.37;Crédito;Credit Card Payment;Platinum Card
09/06/2019;Credit Card Payment;1390.37;Débito;Credit Card Payment;Checking
09/06/2019;Credit Card Payment;502.75;Débito;Credit Card Payment;Checking
09/07/2019;Brewing Company;12.87;Débito;Alcohol & Bars;Platinum Card
09/08/2019;Brewing Company;19.3;Débito;Alcohol & Bars;Platinum Card
09/09/2019;Shell;28.77;Débito;Gas & Fuel;Platinum Card
09/09/2019;Grocery Store;65.09;Débito;Groceries;Silver Card
09/09/2019;Hardware Store;26.25;Débito;Home Improvement;Silver Card
09/09/2019;Spotify;10.69;Débito;Music;Platinum Card
09/09/2019;Gas Company;30;Débito;Utilities;Checking
09/11/2019;Credit Card Payment;360.56;Crédito;Credit Card Payment;Silver Card
09/11/2019;Phone Company;65;Débito;Mobile Phone;Checking
09/12/2019;Credit Card Payment;360.56;Débito;Credit Card Payment;Checking
09/13/2019;Starbucks;2.75;Débito;Coffee Shops;Platinum Card
09/13/2019;Biweekly Paycheck;2250;Crédito;Paycheck;Checking
09/14/2019;Grocery Store;46.44;Débito;Groceries;Platinum Card
09/15/2019;Amazon;47.66;Débito;Shopping;Platinum Card
09/16/2019;Credit Card Payment;90.57;Débito;Credit Card Payment;Checking
09/16/2019;Credit Card Payment;90.57;Crédito;Credit Card Payment;Silver Card
09/16/2019;City Water Charges;35;Débito;Utilities;Checking
09/17/2019;Credit Card Payment;186.13;Crédito;Credit Card Payment;Platinum Card
09/17/2019;Power Company;60;Débito;Utilities;Checking
09/18/2019;State Farm;75;Débito;Auto Insurance;Checking
09/18/2019;Credit Card Payment;1606.46;Débito;Credit Card Payment;Checking
09/19/2019;Brewing Company;40.81;Débito;Alcohol & Bars;Platinum Card
09/19/2019;Starbucks;2.75;Débito;Coffee Shops;Platinum Card
09/20/2019;Credit Card Payment;9.43;Crédito;Credit Card Payment;Silver Card
09/22/2019;Seafood Restaurant;131.1;Débito;Restaurants;Platinum Card
09/23/2019;Credit Card Payment;9.43;Débito;Credit Card Payment;Checking
09/23/2019;Grocery Store;27.71;Débito;Groceries;Platinum Card
09/23/2019;Amazon;24.63;Débito;Shopping;Platinum Card
09/27/2019;Biweekly Paycheck;2250;Crédito;Paycheck;Checking
09/28/2019;BP;33.46;Débito;Gas & Fuel;Platinum Card
09/28/2019;Sheetz;4.27;Débito;Gas & Fuel;Platinum Card
09/30/2019;Starbucks;1.75;Débito;Coffee Shops;Platinum Card
09/30/2019;Internet Service Provider;75;Débito;Internet;Checking
